Unnamed: 0,title,datetime,browse_count,discussion_count,browse_log_norm
179,天津滨海机场再出现多架航班盘旋,2024-09-13 08:12:00,40873000,5000,17.525980256320988
180,中国航母上弹射开会,2024-09-13 08:15:00,11641000,2229,16.270043907230377
181,王楚钦vs徐瑛彬,2024-09-13 08:18:00,72563000,30000,18.099965708010185
182,官方通报教职工吃鲜肉学生吃冻碎肉,2024-09-13 08:33:00,12572000,1672,16.346982676899596
183,山姆冰鲜带鱼捕捞日期撞上摩羯过境日,2024-09-13 08:34:00,40063000,3401,17.5059637730665
184,山姆售卖带鱼台风天捕捞引质疑,2024-09-13 08:34:00,41021000,2234,17.529594688663384
185,偶遇杨幂室外放烟花过生日,2024-09-13 08:46:00,34033000,7581,17.342841200099524
186,贷款中介何以打爆你的电话,2024-09-13 09:03:00,7793000,829,15.868736452825695
187,105公里边境线上的摩托车巡逻队,2024-09-13 09:20:00,5963000,591,15.601084268105245
188,曹璐音银上班路透,2024-09-13 09:24:00,19467000,3882,16.784231282271413
189,总有一种颜色让你爱上初秋,2024-09-13 09:27:00,4931000,3681,15.411052365206263
190,王俊凯掌管白色造型的神,2024-09-13 09:30:00,10195000,31000,16.137407961990693
191,女子偷走店家金蟾嘴里含的100块,2024-09-13 09:48:00,39593000,2967,17.494162892922695
192,为什么说中秋是最有诗意的节日,2024-09-13 09:54:00,12245000,2143,16.320628248368404
193,Newjeans若解约需支付5000亿韩元,2024-09-13 10:24:00,42404000,7092,17.562753255375124
194,偶遇王楚然穿战国袍拍写真,2024-09-13 10:25:00,24825000,2018,17.02736176789551
195,王楚钦孙颖莎今晚单打出战,2024-09-13 10:26:00,28596000,4998,17.16877740586888
196,12306回应列车员有纹身,2024-09-13 10:26:00,83145000,18000,18.23609662950416
197,金饰价格冲到761元每克,2024-09-13 10:27:00,53611000,6211,17.797264828866087
198,金饰价格一夜涨15元每克,2024-09-13 10:27:00,13602000,1359,16.425727398717722
199,空调安装工不系绳坠亡索赔房主百万,2024-09-13 10:30:00,46262000,3543,17.649831447728385
200,白鹿花妍大片,2024-09-13 10:56:00,37103000,6152,17.42920838684216
201,iPhone16今晚8点预售,2024-09-13 11:09:00,32747000,40000,17.304321912796283
202,小S回复网友想来内地工作,2024-09-13 11:23:00,61035000,9143,17.926958028086037
203,比亚迪员工总数突破90万,2024-09-13 11:32:00,13999000,3821,16.454496456456962
204,易烊千玺深V背头,2024-09-13 11:33:00,28605000,27000,17.169092085684767
205,完美世界剧场版终极版预告,2024-09-13 11:36:00,6634000,21000,15.707718498489134
206,打车去杭州萧山机场为啥多收20元,2024-09-13 11:44:00,13992000,1559,16.453996295680575
207,30斤水桶砸下蚊帐救了一家三口,2024-09-13 11:48:00,13374000,470,16.40882308159606
208,中学被指不订奶要提供过敏证明,2024-09-13 11:49:00,9563000,1580,16.07341204333168
209,吴谨言洪尧结婚,2024-09-13 11:54:00,800000000,228000,20.5001222856322
210,辽宁营口一门市突发爆炸,2024-09-13 12:00:00,8654000,798,15.973532199766968
211,易烊千玺和以前相比更平静,2024-09-13 12:13:00,13501000,4505,16.41827431473938
212,魏璎珞嫁给了弘昼,2024-09-13 12:13:00,140000000,13000,18.75715298057358
213,言星举止天塌了,2024-09-13 12:40:00,33951000,5088,17.34042886661619
214,文泰一被警方直接移交检察机关,2024-09-13 12:48:00,11637000,889,16.269700235090212
215,于正说七年了再多考验也修成正果了,2024-09-13 12:58:00,20877000,833,16.854158632495096
216,王曼昱3比1胜郑怡静,2024-09-13 13:10:00,5471000,1199,15.514971973045965
217,谁的猫就这么水灵灵丢了,2024-09-13 13:12:00,4976000,366,15.420136913401151
218,官方回应江西抚州天降火球,2024-09-13 13:48:00,6658000,306,15.711329697117108
219,398元烫发套餐结账成2477元,2024-09-13 14:08:00,11077000,1211,16.22038144449907
220,渐进式延迟法定退休年龄明年起施行,2024-09-13 14:31:00,229999999,95000,19.253589862539645
221,实施渐进式延迟法定退休年龄表决通过,2024-09-13 14:31:00,34378000,8373,17.352927382870238
222,延迟退休年龄对照表,2024-09-13 14:35:00,640000000,190000,20.276978734318
223,749局官宣定档国庆,2024-09-13 14:52:00,11175000,20000,16.229189698463905
224,逐步延至男63女55或58周岁退休,2024-09-13 14:56:00,250000000,91000,19.33697147582652
225,如何自愿选择弹性提前退休,2024-09-13 15:00:00,15914000,2016,16.58270978291962
226,怎么查自己的法定退休年龄,2024-09-13 15:01:00,41630000,9962,17.544331619171157
227,梁靖崑止步澳门赛8强,2024-09-13 15:08:00,26073000,1622,17.076410854087708
228,四部门详解延迟退休办法,2024-09-13 15:12:00,6246000,797,15.64745181682516
229,延迟退休细则解读,2024-09-13 15:12:00,20718000,3750,16.846513445600184
230,女子在超市捞鱼被刺致八级伤残,2024-09-13 15:12:00,8003000,702,15.895327029349184
231,5个线上渠道查询本人的法定退休年龄,2024-09-13 15:23:00,5184000,1056,15.461087517014247
232,10部影片定档国庆档,2024-09-13 15:28:00,9884000,6386,16.10642784609064
233,杨幂工作室定制浏阳烟花为杨幂庆生,2024-09-13 16:08:00,23277000,3646,16.962976306544196
234,普华永道暂停经营业务6个月,2024-09-13 16:10:00,56669000,7884,17.852737881969286
235,对普华永道开出顶格罚单,2024-09-13 16:10:00,70897000,12000,18.076738677490063
236,于正长文回应,2024-09-13 16:13:00,10179000,545,16.135837332434477
237,陆虎陈曌旭丽江举办婚礼,2024-09-13 16:15:00,140000000,18000,18.75715298057358
238,苏醒主持陆虎婚礼,2024-09-13 16:20:00,20558000,5308,16.838760717555004
239,明天周六也要上班,2024-09-13 16:22:00,1854000,419,14.432856025107938
240,中秋将有超级月亮,2024-09-13 16:45:00,5197000,2216,15.46359209399058
241,撤销普华永道广州分所,2024-09-13 17:08:00,15026000,2048,16.525292591911242
242,男子用大方遮掩心虚被司机一眼识破,2024-09-13 17:09:00,66710000,12000,18.0158654246857
243,延迟退休改革16字原则,2024-09-13 17:16:00,42305000,5507,17.560415840340738
244,周杰伦演唱会被吐槽音响声音小,2024-09-13 17:21:00,6356000,582,15.664909806638745
245,111名缅北电诈嫌犯被移交我方,2024-09-13 17:33:00,5661000,618,15.549111113018798
246,普华永道被罚没3.25亿元,2024-09-13 17:45:00,27341000,4537,17.123897965035944
247,00后为何愿意为医院月饼买单,2024-09-13 17:52:00,27599000,2094,17.13329009814693
248,陆虎婚礼上的白鹿,2024-09-13 18:23:00,160000000,55000,18.890684373198106
249,李纯怒斥小区物业,2024-09-13 18:28:00,13461000,1154,16.41530717362623
250,付航喊了16个月passion,2024-09-13 18:34:00,41443000,26000,17.539829547117588
251,哈啰回应乘客打车后被免密扣款21笔,2024-09-13 19:08:00,5571000,645,15.533085129002952
252,陈幸同vs张本美和,2024-09-13 19:16:00,16001000,2270,16.588161778251013
253,文化中国行赏青铜国宝之美,2024-09-13 19:28:00,18901000,2917,16.754725388683095
254,极危动物追着濒危动物咬,2024-09-13 20:04:00,7234000,561,15.79430269149418
255,高承睿3比2莫雷加德,2024-09-13 20:05:00,19372000,2083,16.77933928250526
